Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism,Top 31 Organism,Top 32 Organism,Top 33 Organism,Top 34 Organism,Top 35 Organism,Top 36 Organism,Top 37 Organism,Top 38 Organism,Top 39 Organism,Top 40 Organism,Top 41 Organism,Top 42 Organism,Top 43 Organism,Top 44 Organism,Top 45 Organism,Top 46 Organism,Top 47 Organism,Top 48 Organism,Top 49 Organism,Top 50 Organism,Top 51 Organism,Top 52 Organism,Top 53 Organism,Top 54 Organism,Top 55 Organism,Top 56 Organism,Top 57 Organism,Top 58 Organism,Top 59 Organism,Top 60 Organism,Top 61 Organism,Top 62 Organism,Top 63 Organism,Top 64 Organism,Top 65 Organism,Top 66 Organism,Top 67 Organism,Top 68 Organism,Top 69 Organism,Top 70 Organism,Top 71 Organism,Top 72 Organism,Top 73 Organism,Top 74 Organism,Top 75 Organism,Top 76 Organism,Top 77 Organism,Top 78 Organism,Top 79 Organism,Top 80 Organism,Top 81 Organism,Top 82 Organism,Top 83 Organism,Top 84 Organism,Top 85 Organism,Top 86 Organism,Top 87 Organism,Top 88 Organism,Top 89 Organism,Top 90 Organism,Top 91 Organism,Top 92 Organism,Top 93 Organism,Top 94 Organism,Top 95 Organism,Top 96 Organism,Top 97 Organism,Top 98 Organism,Top 99 Organism,Top 100 Organism
Migraine Disorders,health_concerns,[201174] Actinomycetota (6.642503420188386) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (-5.650059389326578) (abundance=0) (cdf=0),[39491] Agathobacter rectalis (-5.650059389326578) (abundance=0) (cdf=0),[248744] Marvinbryantia (5.650059389326578) (abundance=0) (cdf=0),[85004] Bifidobacteriales (-5.650059389326578) (abundance=0) (cdf=0),[841] Roseburia (5.650059389326578) (abundance=0) (cdf=0),[35518] [Eubacterium] nodatum (-5.650059389326578) (abundance=0) (cdf=0),[33038] Mediterraneibacter gnavus (-5.650059389326578) (abundance=0) (cdf=0),[1348911] Coprobacter (5.650059389326578) (abundance=0) (cdf=0),[1239] Bacillota (5.308984909108823) (abundance=0) (cdf=0),[1224] Pseudomonadota (4.5803282901681674) (abundance=0) (cdf=0),[200643] Bacteroidia (4.5803282901681674) (abundance=0) (cdf=0),[375288] Parabacteroides (4.565747240828332) (abundance=0) (cdf=0),[572511] Blautia (-4.237680999296928) (abundance=0) (cdf=0),[817] Bacteroides fragilis (-4.237680999296928) (abundance=0) (cdf=0),[184869] Varibaculum (2.7863861605149878) (abundance=0) (cdf=0),[816] Bacteroides (2.7863861605149878) (abundance=0) (cdf=0),[580596] Butyricicoccus (2.7863861605149878) (abundance=0) (cdf=0),[244127] Anaerotruncus (2.7863861605149878) (abundance=0) (cdf=0),[283168] Odoribacter (2.7863861605149878) (abundance=0) (cdf=0),[189330] Dorea (2.7863861605149878) (abundance=0) (cdf=0),[1730] Eubacterium (2.7863861605149878) (abundance=0) (cdf=0),[29465] Veillonella (2.7863861605149878) (abundance=0) (cdf=0),[100883] Coprobacillus (2.7863861605149878) (abundance=0) (cdf=0),[40544] Sutterella (2.7863861605149878) (abundance=0) (cdf=0),[28050] Lachnospira (2.7863861605149878) (abundance=0) (cdf=0),[84111] Eggerthella (2.7863861605149878) (abundance=0) (cdf=0),[1680] Bifidobacterium adolescentis (-2.522598748593835) (abundance=0) (cdf=0),[2614128] unclassified Clostridium (2.522598748593835) (abundance=0) (cdf=0),[2173] Methanobrevibacter smithii (-2.522598748593835) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-2.522598748593835) (abundance=0) (cdf=0),[577309] Paraprevotella (-1.7793610803133446) (abundance=0) (cdf=0),[1357] Lactococcus (-1.7793610803133446) (abundance=0) (cdf=0),[283] Comamonas (-1.7793610803133446) (abundance=0) (cdf=0),[102106] Collinsella (-1.7793610803133446) (abundance=0) (cdf=0),[171552] Prevotellaceae (-1.1768936990993102) (abundance=0) (cdf=0),[1578] Lactobacillus (1.1768936990993102) (abundance=0) (cdf=0),[84112] Eggerthella lenta (1.060331687679354) (abundance=0) (cdf=0),[2688313] unclassified Candida (1.060331687679354) (abundance=0) (cdf=0),[1532] Blautia coccoides (-1.060331687679354) (abundance=0) (cdf=0),[259357] unclassified Alcaligenes (-1.060331687679354) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetic Angiopathies,health_concerns,[2646097] unclassified Bacteroides (-1.0) (abundance=0) (cdf=0),[2608891] unclassified Enterococcus (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillain-Barre Syndrome,health_concerns,[1682] Bifidobacterium longum subsp. infantis (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catechins Digestion,health_concerns,[84112] Eggerthella lenta (5208.600248224884) (abundance=0) (cdf=0),[292800] Flavonifractor plautii (5208.600248224884) (abundance=0) (cdf=0),[562] Escherichia coli (1.437326034030004) (abundance=0) (cdf=0),[1280] Staphylococcus aureus (1.437326034030004) (abundance=0) (cdf=0),[1685] Bifidobacterium breve (1.437326034030004) (abundance=0) (cdf=0),[28901] Salmonella enterica (1.437326034030004) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nausea,health_concerns,[375288] Parabacteroides (-1.0) (abundance=0) (cdf=0),[1743] Propionibacterium (1.0) (abundance=0) (cdf=0),[1485] Clostridium (1.0) (abundance=0) (cdf=0),[286] Pseudomonas (1.0) (abundance=0) (cdf=0),[457394] Bacteroides sp. 4_3_47FAA (-1.0) (abundance=0) (cdf=0),[658081] Lachnospiraceae bacterium 1_1_57FAA (-1.0) (abundance=0) (cdf=0),[2173] Methanobrevibacter smithii (-1.0) (abundance=0) (cdf=0),[292632] Subdoligranulum (-1.0) (abundance=0) (cdf=0),[469593] Bacteroides sp. 3_1_40A (-1.0) (abundance=0) (cdf=0),[33042] Coprococcus (1.0) (abundance=0) (cdf=0),[816] Bacteroides (-1.0) (abundance=0) (cdf=0),[665951] Lachnospiraceae bacterium 8_1_57FAA (-1.0) (abundance=0) (cdf=0),[1263] Ruminococcus (1.0) (abundance=0) (cdf=0),[1005703] Propionibacterium sp. CC003-HC2 (1.0) (abundance=0) (cdf=0),[936047] Propionibacterium sp. 409-HC1 (1.0) (abundance=0) (cdf=0),[102106] Collinsella (-1.0) (abundance=0) (cdf=0),[303] Pseudomonas putida (1.0) (abundance=0) (cdf=0),[841] Roseburia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hematologic Neoplasms,health_concerns,[1350] Enterococcus (1.0) (abundance=0) (cdf=0),[570] Klebsiella (1.0) (abundance=0) (cdf=0),[561] Escherichia (1.0) (abundance=0) (cdf=0),[200643] Bacteroidia (1.0) (abundance=0) (cdf=0),[186801] Clostridia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prehypertension,health_concerns,[838] Prevotella (1.0) (abundance=0) (cdf=0),[570] Klebsiella (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macular Degeneration,health_concerns,[244127] Anaerotruncus (1.0) (abundance=0) (cdf=0),[39496] Eubacterium ventriosum (1.0) (abundance=0) (cdf=0),[28111] Bacteroides eggerthii (-1.0) (abundance=0) (cdf=0),[459786] Oscillibacter (1.0) (abundance=0) (cdf=0),[33039] [Ruminococcus] torques (1.0) (abundance=0) (cdf=0),[216572] Oscillospiraceae (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-peptide,health_concerns,[201174] Actinomycetota (1.0) (abundance=0) (cdf=0),[544448] Mycoplasmatota (-1.0) (abundance=0) (cdf=0),[216572] Oscillospiraceae (1.0) (abundance=0) (cdf=0),[84998] Coriobacteriia (1.0) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (1.0) (abundance=0) (cdf=0),[102106] Collinsella (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid Neoplasms,health_concerns,[84107] Coriobacteriaceae (-1.0) (abundance=0) (cdf=0),[171552] Prevotellaceae (-1.0) (abundance=0) (cdf=0),[1224] Pseudomonadota (1.0) (abundance=0) (cdf=0),[201174] Actinomycetota (-1.0) (abundance=0) (cdf=0),[292632] Subdoligranulum (-1.0) (abundance=0) (cdf=0),[189330] Dorea (-1.0) (abundance=0) (cdf=0),[816] Bacteroides (1.0) (abundance=0) (cdf=0),[815] Bacteroidaceae (1.0) (abundance=0) (cdf=0),[186803] Lachnospiraceae (1.0) (abundance=0) (cdf=0),[216851] Faecalibacterium (-1.0) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (1.0) (abundance=0) (cdf=0),[102106] Collinsella (-1.0) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism,health_concerns,[84111] Eggerthella (-32.00073935521989) (abundance=0) (cdf=0),[1392389] Intestinimonas (30.882348496294775) (abundance=0) (cdf=0),[201174] Actinomycetota (-30.171580729193984) (abundance=0) (cdf=0),[830] Butyrivibrio (-28.687586041157367) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-25.998648550718766) (abundance=0) (cdf=0),[838] Prevotella (3.9282602711345596) (abundance=0) (cdf=0),[61170] Holdemania (-2.6889374904386023) (abundance=0) (cdf=0),[239934] Akkermansia (-2.6889374904386023) (abundance=0) (cdf=0),[207244] Anaerostipes (2.6889374904386023) (abundance=0) (cdf=0),[1678] Bifidobacterium (-2.1947624551374068) (abundance=0) (cdf=0),[74201] Verrucomicrobiota (-2.1947624551374068) (abundance=0) (cdf=0),[216851] Faecalibacterium (1.994428026868926) (abundance=0) (cdf=0),[816] Bacteroides (-1.994428026868926) (abundance=0) (cdf=0),[572511] Blautia (-1.9338322442656335) (abundance=0) (cdf=0),[724] Haemophilus (1.9338322442656335) (abundance=0) (cdf=0),[200643] Bacteroidia (-1.919051071474368) (abundance=0) (cdf=0),[29465] Veillonella (-1.919051071474368) (abundance=0) (cdf=0),[577309] Paraprevotella (-1.919051071474368) (abundance=0) (cdf=0),[482] Neisseria (1.919051071474368) (abundance=0) (cdf=0),[67575] Rheinheimera (1.919051071474368) (abundance=0) (cdf=0),[1239] Bacillota (-1.4490649390055155) (abundance=0) (cdf=0),[1236] Gammaproteobacteria (1.4490649390055155) (abundance=0) (cdf=0),[258514] Acetanaerobacterium (1.3331009611940339) (abundance=0) (cdf=0),[1632] Limosilactobacillus oris (1.3331009611940339) (abundance=0) (cdf=0),[435591] Parabacteroides distasonis ATCC 8503 (1.3331009611940339) (abundance=0) (cdf=0),[420345] Lactonifactor (1.3331009611940339) (abundance=0) (cdf=0),[292632] Subdoligranulum (1.3177658404430754) (abundance=0) (cdf=0),[33024] Phascolarctobacterium (1.128194030050544) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecal Incontinence,health_concerns,[2685017] unclassified Slackia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholangiocarcinoma,health_concerns,[171551] Porphyromonadaceae (-21.752329733682647) (abundance=0) (cdf=0),[200643] Bacteroidia (-20.932021070887817) (abundance=0) (cdf=0),[816] Bacteroides (3.090986682976723) (abundance=0) (cdf=0),[2006847] unclassified Muribaculaceae (3.090986682976723) (abundance=0) (cdf=0),[239759] Alistipes (3.090986682976723) (abundance=0) (cdf=0),[1918540] Muribaculum (3.090986682976723) (abundance=0) (cdf=0),[33038] Mediterraneibacter gnavus (-2.000005977578902) (abundance=0) (cdf=0),[29465] Veillonella (2.000005977578902) (abundance=0) (cdf=0),[2630086] unclassified Veillonella (2.000005977578902) (abundance=0) (cdf=0),[1239] Bacillota (-0.820308662794831) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhea,health_concerns,[1678] Bifidobacterium (-29.7600115936919) (abundance=0) (cdf=0),[816] Bacteroides (-19.619123924787107) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-8.957648649182339) (abundance=0) (cdf=0),[200643] Bacteroidia (-7.157117467807574) (abundance=0) (cdf=0),[543] Enterobacteriaceae (6.643994266744743) (abundance=0) (cdf=0),[562] Escherichia coli (6.6021372278801795) (abundance=0) (cdf=0),[561] Escherichia (5.409264421676231) (abundance=0) (cdf=0),[29465] Veillonella (5.116218072558459) (abundance=0) (cdf=0),[838] Prevotella (4.319623017759572) (abundance=0) (cdf=0),[1239] Bacillota (3.9145118433670203) (abundance=0) (cdf=0),[201174] Actinomycetota (-3.3386329468448506) (abundance=0) (cdf=0),[2614128] unclassified Clostridium (-3.1361480799778176) (abundance=0) (cdf=0),[909930] Acidaminococcaceae (3.132762377629558) (abundance=0) (cdf=0),[39491] Agathobacter rectalis (-3.1293192513233326) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (-2.9524612167100757) (abundance=0) (cdf=0),[1224] Pseudomonadota (2.919810848318237) (abundance=0) (cdf=0),[216851] Faecalibacterium (-2.9190910384639133) (abundance=0) (cdf=0),[375288] Parabacteroides (-2.8685382314510797) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (-2.848592314605721) (abundance=0) (cdf=0),[165179] Segatella copri (2.847613264577871) (abundance=0) (cdf=0),[1301] Streptococcus (2.4965051243010046) (abundance=0) (cdf=0),[102106] Collinsella (2.4965051243010046) (abundance=0) (cdf=0),[459786] Oscillibacter (-2.488777120978822) (abundance=0) (cdf=0),[1485] Clostridium (-2.4229292558368902) (abundance=0) (cdf=0),[2735] Verrucomicrobium (-2.2476798411073795) (abundance=0) (cdf=0),[115543] Parasporobacterium (2.2476798411073795) (abundance=0) (cdf=0),[1279] Staphylococcus (2.210894744148277) (abundance=0) (cdf=0),[91061] Bacilli (2.168711006066033) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-2.064633482303223) (abundance=0) (cdf=0),[1350] Enterococcus (-2.0645137010730323) (abundance=0) (cdf=0),[2753] Synergistes (1.9495583235447442) (abundance=0) (cdf=0),[649777] Synergistaceae (-1.9495583235447442) (abundance=0) (cdf=0),[296234] anaerobic bacterium EtOH8 (-1.9495583235447442) (abundance=0) (cdf=0),[31979] Clostridiaceae (-1.9197613721875355) (abundance=0) (cdf=0),[817] Bacteroides fragilis (1.9155059121300573) (abundance=0) (cdf=0),[74426] Collinsella aerofaciens (1.906745970683321) (abundance=0) (cdf=0),[147206] Collinsella stercoris (1.906745970683321) (abundance=0) (cdf=0),[186801] Clostridia (1.7936175918999995) (abundance=0) (cdf=0),[544] Citrobacter (1.7674662911982637) (abundance=0) (cdf=0),[35832] Bilophila (1.7674662911982637) (abundance=0) (cdf=0),[40544] Sutterella (1.7674662911982637) (abundance=0) (cdf=0),[194] Campylobacter (1.7674662911982637) (abundance=0) (cdf=0),[469] Acinetobacter (1.7674662911982637) (abundance=0) (cdf=0),[620] Shigella (1.7674662911982637) (abundance=0) (cdf=0),[590] Salmonella (1.7674662911982637) (abundance=0) (cdf=0),[1283313] Alloprevotella (1.665637189641051) (abundance=0) (cdf=0),[28211] Alphaproteobacteria (1.665637189641051) (abundance=0) (cdf=0),[72274] Pseudomonadales (1.665637189641051) (abundance=0) (cdf=0),[135621] Pseudomonadaceae (1.665637189641051) (abundance=0) (cdf=0),[286] Pseudomonas (1.665637189641051) (abundance=0) (cdf=0),[33042] Coprococcus (-1.6363637823587402) (abundance=0) (cdf=0),[189330] Dorea (-1.6363637823587402) (abundance=0) (cdf=0),[1263] Ruminococcus (-1.6363637823587402) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (-1.4969221393457157) (abundance=0) (cdf=0),[85004] Bifidobacteriales (-1.4969221393457157) (abundance=0) (cdf=0),[360807] Roseburia inulinivorans (1.4969221393457157) (abundance=0) (cdf=0),[310298] Phocaeicola coprocola (-1.4969221393457157) (abundance=0) (cdf=0),[2161821] Dialister massiliensis (-1.4969221393457157) (abundance=0) (cdf=0),[84992] Acidimicrobiia (-1.4969221393457157) (abundance=0) (cdf=0),[841] Roseburia (1.4969221393457157) (abundance=0) (cdf=0),[2638335] unclassified Prevotella (-1.475754971372841) (abundance=0) (cdf=0),[194924] Desulfovibrionaceae (1.4671251879885068) (abundance=0) (cdf=0),[186804] Peptostreptococcaceae (-1.4671251879885068) (abundance=0) (cdf=0),[995019] Sutterellaceae (1.4671251879885068) (abundance=0) (cdf=0),[81852] Enterococcaceae (-1.4671251879885068) (abundance=0) (cdf=0),[33958] Lactobacillaceae (-1.4671251879885068) (abundance=0) (cdf=0),[815] Bacteroidaceae (-1.45553907736436) (abundance=0) (cdf=0),[872] Desulfovibrio (-1.4387948801969834) (abundance=0) (cdf=0),[543314] Eubacteriales Family XIII. Incertae Sedis (-1.4236375217585566) (abundance=0) (cdf=0),[109326] Anaerovorax (-1.4236375217585566) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-1.392427632046137) (abundance=0) (cdf=0),[848] Fusobacterium (1.389625002029594) (abundance=0) (cdf=0),[68337] Deferribacteres (1.3613533669062243) (abundance=0) (cdf=0),[1031332] Cryptomycota (1.3613533669062243) (abundance=0) (cdf=0),[4891] Saccharomycetes (-1.3613533669062243) (abundance=0) (cdf=0),[2049036] Paraprevotella sp (-1.3103434127521965) (abundance=0) (cdf=0),[40520] Blautia obeum (-1.3103434127521965) (abundance=0) (cdf=0),[100886] Catenibacterium mitsuokai (-1.3103434127521965) (abundance=0) (cdf=0),[1306] Streptococcus sp (-1.3103434127521965) (abundance=0) (cdf=0),[1402] Bacillus licheniformis (1.265326183247079) (abundance=0) (cdf=0),[820] Bacteroides uniformis (-1.265326183247079) (abundance=0) (cdf=0),[185979] unclassified Bacillus (in: firmicutes (1.265326183247079) (abundance=0) (cdf=0),[1502] Clostridium perfringens (-1.265326183247079) (abundance=0) (cdf=0),[1352] Enterococcus faecium (-1.265326183247079) (abundance=0) (cdf=0),[37734] Enterococcus casseliflavus (-1.265326183247079) (abundance=0) (cdf=0),[292800] Flavonifractor plautii (-1.265326183247079) (abundance=0) (cdf=0),[1490] Paraclostridium bifermentans (-1.265326183247079) (abundance=0) (cdf=0),[653388] Bacillus mojavensis subgroup (1.265326183247079) (abundance=0) (cdf=0),[1408] Bacillus pumilus (1.265326183247079) (abundance=0) (cdf=0),[292632] Subdoligranulum (-1.250089416958749) (abundance=0) (cdf=0),[2630700] unclassified Malassezia (1.232793152976692) (abundance=0) (cdf=0),[5475] Candida (1.232793152976692) (abundance=0) (cdf=0),[2157] Archaea (1.232793152976692) (abundance=0) (cdf=0),[239759] Alistipes (-1.1689164698833105) (abundance=0) (cdf=0),[239934] Akkermansia (-1.1689164698833105) (abundance=0) (cdf=0),[5741] Giardia intestinalis (1.1609686465829347) (abundance=0) (cdf=0),[10912] Rotavirus (1.1609686465829347) (abundance=0) (cdf=0),[5806] Cryptosporidium (1.1609686465829347) (abundance=0) (cdf=0),[10535] unidentified adenovirus (1.1609686465829347) (abundance=0) (cdf=0),[1496] Clostridioides difficile (1.1609686465829347) (abundance=0) (cdf=0)
Postural Balance,health_concerns,[33958] Lactobacillaceae (1.0) (abundance=0) (cdf=0),[990719] Christensenellaceae (1.0) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osteoarthritis, Knee",health_concerns,[265975] Oribacterium (-35717.49756479954) (abundance=0) (cdf=0),[644652] Gordonibacter (35717.49756479954) (abundance=0) (cdf=0),[574697] Butyricimonas (35717.49756479954) (abundance=0) (cdf=0),[171551] Porphyromonadaceae (35717.49756479954) (abundance=0) (cdf=0),[283168] Odoribacter (-35717.49756479954) (abundance=0) (cdf=0),[33024] Phascolarctobacterium (35717.49756479954) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (35717.49756479954) (abundance=0) (cdf=0),[1331051] Candidatus Saccharimonas (35717.49756479954) (abundance=0) (cdf=0),[80865] Delftia (35717.49756479954) (abundance=0) (cdf=0),[1283313] Alloprevotella (-35717.49756479954) (abundance=0) (cdf=0),[375288] Parabacteroides (35717.49756479954) (abundance=0) (cdf=0),[186802] Eubacteriales (35717.49756479954) (abundance=0) (cdf=0),[292632] Subdoligranulum (-1.2421063694080163) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (-1.2421063694080163) (abundance=0) (cdf=0),[990719] Christensenellaceae (-1.2421063694080163) (abundance=0) (cdf=0),[841] Roseburia (-1.2421063694080163) (abundance=0) (cdf=0),[1263] Ruminococcus (-1.2421063694080163) (abundance=0) (cdf=0),[570] Klebsiella (1.2421063694080163) (abundance=0) (cdf=0),[1485] Clostridium (1.2421063694080163) (abundance=0) (cdf=0),[46506] Bacteroides stercoris (-1.2421063694080163) (abundance=0) (cdf=0),[946234] Flavonifractor (1.2421063694080163) (abundance=0) (cdf=0),[562] Escherichia coli (1.2421063694080163) (abundance=0) (cdf=0),[1578] Lactobacillus (-1.2421063694080163) (abundance=0) (cdf=0),[573] Klebsiella pneumoniae (1.2421063694080163) (abundance=0) (cdf=0),[623] Shigella flexneri (1.2421063694080163) (abundance=0) (cdf=0),[1304] Streptococcus salivarius (1.2421063694080163) (abundance=0) (cdf=0),[909930] Acidaminococcaceae (-1.2421063694080163) (abundance=0) (cdf=0),[1766253] Agathobacter (-1.2421063694080163) (abundance=0) (cdf=0),[33958] Lactobacillaceae (-1.2421063694080163) (abundance=0) (cdf=0),[820] Bacteroides uniformis (-1.2421063694080163) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apolipoproteins B,health_concerns,[375288] Parabacteroides (-1.0) (abundance=0) (cdf=0),[171550] Rikenellaceae (-1.0) (abundance=0) (cdf=0),[165179] Segatella copri (1.0) (abundance=0) (cdf=0),[838] Prevotella (1.0) (abundance=0) (cdf=0),[119852] Oscillospira (-1.0) (abundance=0) (cdf=0),[35493] Streptophyta (-1.0) (abundance=0) (cdf=0),[815] Bacteroidaceae (-1.0) (abundance=0) (cdf=0),[171551] Porphyromonadaceae (-1.0) (abundance=0) (cdf=0),[171552] Prevotellaceae (1.0) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-1.0) (abundance=0) (cdf=0),[816] Bacteroides (-1.0) (abundance=0) (cdf=0),[264995] Anaerofustis (-1.0) (abundance=0) (cdf=0),[186802] Eubacteriales (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migraine without Aura,health_concerns,[2005473] Muribaculaceae (-1.0) (abundance=0) (cdf=0),[1798710] Candidatus Melainabacteria (-1.0) (abundance=0) (cdf=0),[244127] Anaerotruncus (1.0) (abundance=0) (cdf=0),[35518] [Eubacterium] nodatum (-1.0) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (-1.0) (abundance=0) (cdf=0),[577310] Parasutterella (-1.0) (abundance=0) (cdf=0),[290055] Faecalicatena fissicatena (1.0) (abundance=0) (cdf=0),[201174] Actinomycetota (1.0) (abundance=0) (cdf=0),[85004] Bifidobacteriales (-1.0) (abundance=0) (cdf=0),[135858] Catenibacterium (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Eye Syndromes,health_concerns,[292632] Subdoligranulum (-31130.122101889046) (abundance=0) (cdf=0),[29465] Veillonella (31130.122101889046) (abundance=0) (cdf=0),[838] Prevotella (1.2520832509886022) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Lyme Disease Syndrome,health_concerns,[572511] Blautia (1.0) (abundance=0) (cdf=0),[816] Bacteroides (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
