Name,Collection,Type,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Cinnamon Water Extract Supplementation,diets,Type 2,[1769710] Sellimonas (-0.0),[74201] Verrucomicrobiota (0.0),[135621] Pseudomonadaceae (0.0),[95818] Candidatus Saccharibacteria (0.0),[72274] Pseudomonadales (0.0),[117563] Granulicatella (0.0),[200643] Bacteroidia (0.0),[1678] Bifidobacterium (0.0),[286] Pseudomonas (0.0),[544448] Mycoplasmatota (-0.0),[1301] Streptococcus (0.0),[201174] Actinomycetota (0.0),[1117] Cyanobacteriota (0.0),[186828] Carnobacteriaceae (0.0),,,,,,,,,,,,,,,,
Yogurt,diets,Type 2,[Probiotic] Streptococcus thermophilus (0.0296),[33040] Streptococcus milleri (0.0206),[1300] Streptococcaceae (0.0206),[28116] Bacteroides ovatus (-0.0137),[1239] Bacillota (0.0113),[1236] Gammaproteobacteria (-0.0113),[1224] Pseudomonadota (-0.0113),[1578] Lactobacillus (0.0113),[Probiotic] Lacticaseibacillus casei (0.0113),[201174] Actinomycetota (0.0113),[1678] Bifidobacterium (0.0111),[1414720] Clostridium saudiense (-0.0103),[1680] Bifidobacterium adolescentis (-0.0103),[823] Parabacteroides distasonis (-0.0103),[291644] Bacteroides salyersiae (-0.0103),[853] Faecalibacterium prausnitzii (-0.0103),[283168] Odoribacter (-0.01),[1263] Ruminococcus (-0.01),[189330] Dorea (-0.01),[35832] Bilophila (-0.01),[1301] Streptococcus (0.0089),[216572] Oscillospiraceae (0.0089),[Probiotic] Bifidobacterium animalis (0.0089),[186803] Lachnospiraceae (0.0089),[817] Bacteroides fragilis (-0.0035),[821] Phocaeicola vulgatus (-0.0035),,,,
Vitamin B Supplementation,diets,Type 2,[171552] Prevotellaceae (-0.0077),[72294] Campylobacteraceae (-0.0077),[203492] Fusobacteriaceae (-0.0077),[75682] Oxalobacteraceae (-0.0076),[1268] Micrococcaceae (-0.0076),[544448] Mycoplasmatota (-0.0076),[80864] Comamonadaceae (-0.0076),[84107] Coriobacteriaceae (-0.0076),[171551] Porphyromonadaceae (-0.0076),,,,,,,,,,,,,,,,,,,,,
High-Fat Diet,diets,Type 2,[216851] Faecalibacterium (-0.1476),[816] Bacteroides (0.1476),[239759] Alistipes (0.1476),,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Escherichia Coli Nissle 1917_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grape Powder,diets,Type 2,[946234] Flavonifractor (0.0204),[39948] Dialister (-0.0204),[1678] Bifidobacterium (-0.0204),,,,,,,,,,,,,,,,,,,,,,,,,,,
Polysaccharides,diets,Type 2,[1678] Bifidobacterium (0.0),[201174] Actinomycetota (0.0),[33042] Coprococcus (0.0),[1224] Pseudomonadota (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactobacillus Acidophilus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Limosilactobacillus Fermentum_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta-Carotene,diets,Type 2,[1239] Bacillota (0.0295),[816] Bacteroides (-0.0223),[1485] Clostridium (0.0223),[815] Bacteroidaceae (-0.0223),[171549] Bacteroidales (-0.0223),[1378] Gemella (0.0223),[200643] Bacteroidia (-0.0223),[301301] Roseburia hominis (0.0103),[35493] Streptophyta (0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[301302] Roseburia faecis (0.0103),[39948] Dialister (0.0072),,,,,,,,,,,,,,,,,,
Probiotics Containing _Pediococcus Pentosaceus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfermented Milk,diets,Type 2,[1239] Bacillota (0.0204),[74201] Verrucomicrobiota (0.0204),[200643] Bacteroidia (-0.0204),,,,,,,,,,,,,,,,,,,,,,,,,,,
Inulin,diets,Type 2,[Probiotic] Bifidobacterium bifidum (0.0242),[Probiotic] Bifidobacterium longum (0.0242),[1680] Bifidobacterium adolescentis (0.0242),[649756] Anaerostipes hadrus (0.0242),[1678] Bifidobacterium (0.0028),,,,,,,,,,,,,,,,,,,,,,,,,
Soy Milk,diets,Type 2,[1224] Pseudomonadota (0.0325),[1678] Bifidobacterium (-0.0325),[838] Prevotella (0.0325),[1730] Eubacterium (0.0325),[841] Roseburia (-0.0325),[1485] Clostridium (0.0325),,,,,,,,,,,,,,,,,,,,,,,,
Ginger Supplementation,diets,Type 2,[185979] unclassified Bacillus (0.0072),[1386] Bacillus (0.0072),[1903414] Morganellaceae (0.0072),[1185407] Defluviitaleaceae (0.0072),[572511] Blautia (-0.0072),[201174] Actinomycetota (0.0072),[186817] Bacillaceae (0.0072),[375288] Parabacteroides (0.0072),[41297] Sphingomonadaceae (-0.0072),,,,,,,,,,,,,,,,,,,,,
Superfine Yak Bone Powder,diets,Type 2,[906] Megasphaera (0.0373),[904] Acidaminococcus (0.0373),[1678] Bifidobacterium (0.0373),[469] Acinetobacter (-0.0373),[158846] Megamonas (0.0373),[838] Prevotella (0.0373),,,,,,,,,,,,,,,,,,,,,,,,
Pickled Foods,diets,Type 2,[33042] Coprococcus (-0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B2,diets,Type 2,[200643] Bacteroidia (-0.033),[216572] Oscillospiraceae (0.0325),[84086] unclassified Bacillota (0.0325),[328814] Alistipes shahii (0.0325),[31979] Clostridiaceae (0.0325),[1485] Clostridium (0.0325),[853] Faecalibacterium prausnitzii (-0.0325),[31977] Veillonellaceae (-0.0325),[39488] Anaerobutyricum hallii (-0.0325),[216851] Faecalibacterium (-0.0325),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1239] Bacillota (0.0107),,,,,,,,,,,,,,,
Fish,diets,Type 2,[363265] Leyella stercorea (-0.0167),[29354] Lacrimispora celerecrescens (-0.0167),[216851] Faecalibacterium (0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,diets,Type 2,[2173] Methanobrevibacter smithii (0.1477),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Protein Calorie Restricted Diet,diets,Type 2,[41200] Bifidobacterium sp. (0.0205),[1872421] Akkermansia sp. (0.0205),[59823] Prevotella sp. (-0.0205),,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Akkermansia Muciniphila_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa Flavanols,diets,Type 2,[1532] Blautia coccoides (0.0161),[1678] Bifidobacterium (0.0161),[39491] Agathobacter rectalis (0.0161),[1498] Hathewaya histolytica (-0.0161),[1350] Enterococcus (0.0161),[1578] Lactobacillus (0.0161),,,,,,,,,,,,,,,,,,,,,,,,
Synbiotic Treatment,diets,Type 2,[186826] Lactobacillales (0.0205),[33958] Lactobacillaceae (0.0111),[475] Moraxella (-0.0111),[437755] Moryella (-0.0111),[1678] Bifidobacterium (0.0047),[1578] Lactobacillus (0.0047),[292632] Subdoligranulum (0.0047),,,,,,,,,,,,,,,,,,,,,,,
Biotin,diets,Type 2,[1239] Bacillota (0.0107),[1117] Cyanobacteriota (-0.0107),[200643] Bacteroidia (-0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),,,,,,,,,,,,,,,,,,,,,,,,
Rhubarb Extract,diets,Type 2,[841] Roseburia (0.0179),[1766253] Agathobacter (0.0179),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Delicious Apple,diets,Type 2,[1224] Pseudomonadota (0.0204),[1678] Bifidobacterium (0.0204),[201174] Actinomycetota (0.0204),[200643] Bacteroidia (-0.0204),,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc,diets,Type 2,[33039] [Ruminococcus] torques (0.0385),[1654] Actinomyces (0.0385),[1117] Cyanobacteriota (0.0107),[1224] Pseudomonadota (0.0107),[200643] Bacteroidia (-0.0107),[201174] Actinomycetota (0.0107),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[729] Haemophilus parainfluenzae (0.0103),,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Enterococcus Durans_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin A,diets,Type 2,[2172] Methanobrevibacter (0.1018),[1224] Pseudomonadota (0.0912),[186803] Lachnospiraceae (0.0325),[200643] Bacteroidia (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[201174] Actinomycetota (0.0107),[1239] Bacillota (0.0107),[838] Prevotella (0.0104),[39948] Dialister (0.0072),[216851] Faecalibacterium (0.0),[46205] Pseudobutyrivibrio (-0.0),[1578] Lactobacillus (-0.0),,,,,,,,,,,,,,,,,,
High Carbohydrate Diet,diets,Type 2,[286] Pseudomonas (-0.1174),[84111] Eggerthella (0.1174),[102106] Collinsella (-0.1174),[40544] Sutterella (-0.1174),[1263] Ruminococcus (0.1174),[216572] Oscillospiraceae (-0.1174),[158846] Megamonas (-0.1174),[186803] Lachnospiraceae (-0.1174),[447020] Adlercreutzia (0.1174),[816] Bacteroides (0.1102),[239759] Alistipes (-0.0072),[33038] Mediterraneibacter gnavus (0.0072),[239934] Akkermansia (-0.0072),[841] Roseburia (0.0072),,,,,,,,,,,,,,,,
Fermented Milk,diets,Type 2,[1694] Bifidobacterium pseudolongum (0.0206),[Probiotic] Bifidobacterium animalis (0.0206),[1692] Bifidobacterium magnum (0.0206),[78345] Bifidobacterium merycicum (0.0206),[33905] Bifidobacterium thermophilum (0.0206),[31953] Bifidobacteriaceae (0.0206),[201174] Actinomycetota (0.0206),[1678] Bifidobacterium (0.0206),[570] Klebsiella (-0.0205),[848] Fusobacterium (-0.0205),[872] Desulfovibrio (0.0205),[841] Roseburia (-0.0205),[29465] Veillonella (-0.0205),[39948] Dialister (-0.0205),[2172] Methanobrevibacter (0.0205),[1348911] Coprobacter (-0.0205),[84108] Slackia (0.0205),[216572] Oscillospiraceae (-0.0079),[1239] Bacillota (-0.0079),[186803] Lachnospiraceae (-0.0079),[171552] Prevotellaceae (0.0079),[815] Bacteroidaceae (0.0079),[200643] Bacteroidia (0.0079),,,,,,,
Probiotics Containing _Lactococcus Lactis_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotic Treatment,diets,Type 1,[1730] Eubacterium (0.0),[32008] Burkholderia (0.0),[1485] Clostridium (-0.0),[561] Escherichia (-0.0),[Pathogen] Campylobacter (-0.0),[Pathogen] Shigella (-0.0),[234] Brucella (-0.0),,,,,,,,,,,,,,,,,,,,,,,
High-Volume Training,lifestyles,Type 2,[724] Haemophilus (-0.0),[729] Haemophilus parainfluenzae (-0.0),[1506553] Lachnoclostridium (-0.0),[40519] Ruminococcus callidus (0.0),[1318] Streptococcus parasanguinis (-0.0),[712] Pasteurellaceae (-0.0),,,,,,,,,,,,,,,,,,,,,,,,
American Heart Association Diet,diets,Type 2,[1678] Bifidobacterium (-0.0301),[31969] Mollicutes (0.0301),[544448] Mycoplasmatota (0.0301),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,diets,Type 2,[160404] Anaerotignum lactatifermentans (0.0167),[74201] Verrucomicrobiota (-0.0167),[82983] Obesumbacterium proteus (0.0167),[543] Enterobacteriaceae (0.0167),[Probiotic] Akkermansia muciniphila (-0.0167),[239934] Akkermansia (-0.0167),[1351] Enterococcus faecalis (0.0001),,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Bifidobacterium Longum Subsp. Infantis_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega-6 Fatty Acids,diets,Type 2,[291644] Bacteroides salyersiae (0.0103),[572511] Blautia (-0.0),[186807] Peptococcaceae (0.0),[84111] Eggerthella (0.0),[33024] Phascolarctobacterium (0.0),[207244] Anaerostipes (0.0),[84108] Slackia (0.0),[253255] Soehngenia (0.0),[588605] Robinsoniella (0.0),[168657] Hydrogenobaculum (0.0),[375288] Parabacteroides (0.0),[102106] Collinsella (0.0),,,,,,,,,,,,,,,,,,
Whole Milk,diets,Type 2,[1678] Bifidobacterium (0.0205),[572511] Blautia (0.0205),[201174] Actinomycetota (0.0205),[158846] Megamonas (-0.0205),[207244] Anaerostipes (0.0205),,,,,,,,,,,,,,,,,,,,,,,,,
Cod,diets,Type 2,[909929] Selenomonadales (0.0111),[186802] Eubacteriales (-0.0111),[171549] Bacteroidales (-0.0111),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sungold Kiwifruit,diets,Type 2,[84107] Coriobacteriaceae (0.0205),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moderate-Spiced Diet,diets,Type 2,[216572] Oscillospiraceae (0.0072),[171550] Rikenellaceae (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tea,diets,Type 2,[572511] Blautia (0.0157),[201174] Actinomycetota (0.0157),[1239] Bacillota (0.0157),[1228827] Influenza A virus) (0.0157),[84107] Coriobacteriaceae (0.0157),[186803] Lachnospiraceae (0.0157),[1730] Eubacterium (0.0157),[33042] Coprococcus (0.0157),[216851] Faecalibacterium (0.0157),[Probiotic] Bifidobacterium longum (0.0157),[216572] Oscillospiraceae (0.0157),[841] Roseburia (0.0157),[200643] Bacteroidia (-0.0157),[189330] Dorea (0.0157),[1678] Bifidobacterium (0.0157),[848] Fusobacterium (-0.0157),[39491] Agathobacter rectalis (0.0157),[88431] Dorea longicatena (0.0157),[39486] Dorea formicigenerans (0.0157),[69277] Phyllobacteriaceae (0.0157),[31953] Bifidobacteriaceae (0.0157),[84999] Coriobacteriales (0.0157),[171552] Prevotellaceae (-0.0157),[610116] Aliihoeflea (0.0157),[29347] [Clostridium] scindens (0.0157),[84998] Coriobacteriia (0.0157),,,,
Tomato Extract,diets,Type 2,[816] Bacteroides (-0.0072),[1263] Ruminococcus (-0.0072),[239759] Alistipes (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Inflammatory Diet,diets,Type 2,[853] Faecalibacterium prausnitzii (0.0205),[201174] Actinomycetota (-0.0205),[1300] Streptococcaceae (-0.0205),[28221] Deltaproteobacteria (-0.0205),[91061] Bacilli (-0.0205),[1301] Streptococcus (-0.0205),[194924] Desulfovibrionaceae (-0.0205),[213115] Desulfovibrionales (-0.0205),[1766253] Agathobacter (0.0205),[186826] Lactobacillales (-0.0205),[85004] Bifidobacteriales (-0.0205),[31953] Bifidobacteriaceae (-0.0205),[310298] Phocaeicola coprocola (0.0205),,,,,,,,,,,,,,,,,
Sprint Interval Training,lifestyles,Type 2,[200643] Bacteroidia (0.0135),[1485] Clostridium (-0.0135),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshwater Fish,diets,Type 2,[1224] Pseudomonadota (-0.0113),[Pathogen] Shigella (-0.0113),[561] Escherichia (-0.0113),[158846] Megamonas (-0.0113),[216851] Faecalibacterium (0.0113),,,,,,,,,,,,,,,,,,,,,,,,,
Ketogenic Diet,diets,Type 2,[848] Fusobacterium (0.0409),[2040332] Dorea sp. (0.0204),[1971605] Faecalibacterium sp. (-0.0204),[29523] Bacteroides sp. (0.0204),[1357] Lactococcus (0.0204),[1239] Bacillota (-0.0204),,,,,,,,,,,,,,,,,,,,,,,,
High-Carbohydrate/Low-Glycemic Index Diet,diets,Type 2,[853] Faecalibacterium prausnitzii (0.0121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyunsaturated Fatty Acids,diets,Type 2,[1678] Bifidobacterium (-0.0072),[1578] Lactobacillus (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,diets,Type 2,[561] Escherichia (0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylcobalamin Supplementation,diets,Type 2,[216572] Oscillospiraceae (-0.0),[190972] Sedimentibacter (0.0),[1485] Clostridium (0.0),[816] Bacteroides (-0.0),[469] Acinetobacter (0.0),[543] Enterobacteriaceae (-0.0),[561] Escherichia (0.0),[946234] Flavonifractor (0.0),,,,,,,,,,,,,,,,,,,,,,
Dynamic Exercise,lifestyles,Type 2,[47678] Bacteroides caccae (0.0088),[1307] Streptococcus suis (0.0088),[Probiotic] Bifidobacterium animalis (0.0088),[649756] Anaerostipes hadrus (0.0088),[208479] Enterocloster bolteae (0.0088),[Probiotic] Lactobacillus acidophilus (0.0088),[853] Faecalibacterium prausnitzii (0.0088),[28131] Prevotella intermedia (0.0088),,,,,,,,,,,,,,,,,,,,,,
Curcumin,diets,Type 2,[201174] Actinomycetota (0.0205),[194924] Desulfovibrionaceae (0.0205),[290054] Eubacterium coprostanoligenes (0.0205),[171552] Prevotellaceae (0.0205),[28050] Lachnospira (0.0205),[815] Bacteroidaceae (-0.0205),[1239] Bacillota (-0.0205),[186803] Lachnospiraceae (0.0205),[29375] Lacrimispora xylanolytica (0.0),[74426] Collinsella aerofaciens (0.0),[1259973] Klebsiella electrica (0.0),[61648] Kluyvera intermedia (0.0),[116085] Coprococcus catus (-0.0),,,,,,,,,,,,,,,,,
Acupuncture,lifestyles,Type 2,[1766253] Agathobacter (0.0166),[1506553] Lachnoclostridium (0.0166),[1239] Bacillota (-0.0143),[Pathogen] Shigella (-0.01),[561] Escherichia (-0.01),[572511] Blautia (0.0085),[577310] Parasutterella (0.0058),[209879] Allisonella (-0.0058),[397864] Barnesiella (-0.0058),[39948] Dialister (-0.0058),[1649459] Hungatella (-0.0058),[1392389] Intestinimonas (-0.0058),[437755] Moryella (-0.0058),[906] Megasphaera (-0.0058),[816] Bacteroides (0.0043),[189330] Dorea (-0.0015),[203490] Fusobacteriia (-0.0015),[216851] Faecalibacterium (0.0015),[292632] Subdoligranulum (0.0015),,,,,,,,,,,
Polyphenols,diets,Type 2,[1535] [Clostridium] leptum (-0.015),[1532] Blautia coccoides (-0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,diets,Type 2,[216572] Oscillospiraceae (0.0242),[1485] Clostridium (0.0242),[1680] Bifidobacterium adolescentis (0.0242),[360807] Roseburia inulinivorans (-0.0242),[46506] Bacteroides stercoris (0.0205),[301302] Roseburia faecis (0.0205),[2005359] Faecalicatena (0.0205),[1150298] Fusicatenibacter saccharivorans (0.0205),[384636] Hungatella xylanolytica (0.0205),,,,,,,,,,,,,,,,,,,,,
Brown Rice Amazake,diets,Type 2,[40545] Sutterella wadsworthensis (0.0385),[40544] Sutterella (0.0385),[105825] butyrate-producing bacterium A2-207 (0.0314),[537405] Lactobacillales bacterium DJF_B280 (0.0314),[537386] Firmicutes bacterium DJF_VP44 (0.0314),[580596] Butyricicoccus (0.0314),[375288] Parabacteroides (0.0314),[171551] Porphyromonadaceae (0.0314),[823] Parabacteroides distasonis (0.0071),[537281] Faecalibacterium sp. DJF_VR20 (0.0071),[329854] Bacteroides intestinalis (0.0071),[328813] Alistipes onderdonkii (0.0071),,,,,,,,,,,,,,,,,,
Sweets,diets,Type 2,[2173] Methanobrevibacter smithii (0.1477),[1224] Pseudomonadota (-0.0167),[89014] Blautia luti (0.0167),[35832] Bilophila (-0.0167),[438033] Ruminococcus gauvreauii (0.0167),[46205] Pseudobutyrivibrio (-0.0),,,,,,,,,,,,,,,,,,,,,,,,
Resistance Training,lifestyles,Type 2,[171552] Prevotellaceae (-0.0135),[31953] Bifidobacteriaceae (0.0135),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine,diets,Type 2,[102106] Collinsella (0.0),[216851] Faecalibacterium (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oats,diets,Type 2,[39948] Dialister (0.0316),[301301] Roseburia hominis (0.0316),[45851] Butyrivibrio crossotus (0.0316),[487173] Dialister succinatiphilus (0.0316),[995019] Sutterellaceae (-0.0316),[360807] Roseburia inulinivorans (-0.0316),[Probiotic] Akkermansia muciniphila (0.0316),[841] Roseburia (0.0316),[29361] [Clostridium] nexile (-0.0316),[577309] Paraprevotella (0.0316),[28026] Bifidobacterium pseudocatenulatum (0.0316),[830] Butyrivibrio (0.0316),[1512] [Clostridium] symbiosum (0.0316),[28126] Segatella buccae (0.0316),[158847] Megamonas hypermegale (-0.0316),,,,,,,,,,,,,,,
Citrus Fruit Extract Supplementation,diets,Type 2,[2742598] Limosilactobacillus (0.0204),[97478] Limosilactobacillus mucosae (0.0204),[39490] Eubacterium ramulus (0.0204),[841] Roseburia (0.0204),[28111] Bacteroides eggerthii (0.0204),[1350] Enterococcus (0.0204),,,,,,,,,,,,,,,,,,,,,,,,
Elimination Diet,diets,Type 2,[40518] Ruminococcus bromii (-0.0325),[853] Faecalibacterium prausnitzii (-0.0325),[Probiotic] Bifidobacterium longum (-0.0325),[Probiotic] Akkermansia muciniphila (-0.0325),,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Bifidobacterium Animalis Subsp. Lactis Bl-04_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Sweeteners,diets,Type 2,[543] Enterobacteriaceae (0.2193),[28221] Deltaproteobacteria (0.2193),[201174] Actinomycetota (0.2193),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellulose Supplementation,diets,Type 2,[1263] Ruminococcus (0.0101),[186803] Lachnospiraceae (0.0101),[186802] Eubacteriales (0.0101),[191303] Turicibacter (0.0101),,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Bifidobacterium Breve_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galacto-Oligosaccharide Supplementation,diets,Type 2,[1678] Bifidobacterium (0.1804),[35833] Bilophila wadsworthia (-0.066),[216851] Faecalibacterium (0.0553),[1578] Lactobacillus (0.0553),[33035] Blautia producta (0.0329),[2172] Methanobrevibacter (0.0329),[301302] Roseburia faecis (0.0329),[33043] Coprococcus eutactus (0.0329),[853] Faecalibacterium prausnitzii (0.0329),[33042] Coprococcus (0.0329),[1263] Ruminococcus (0.0227),[1694] Bifidobacterium pseudolongum (0.0207),[Probiotic] Bifidobacterium breve (0.0207),[41200] Bifidobacterium sp. (0.0207),[561180] Bifidobacterium gallicum DSM 20093 = LMG 11596 (0.0207),[Probiotic] Bifidobacterium bifidum (0.0207),[201174] Actinomycetota (0.0207),[31953] Bifidobacteriaceae (0.0207),[51514] Dehalobacterium (-0.0102),[2753] Synergistes (-0.0102),[61170] Holdemania (-0.0102),,,,,,,,,
Chicken,diets,Type 2,[Probiotic] Akkermansia muciniphila (-0.0282),[171552] Prevotellaceae (0.0102),[39948] Dialister (0.0102),[133925] Olsenella (0.0102),[1578] Lactobacillus (0.0102),[200643] Bacteroidia (0.0102),[1239] Bacillota (-0.0102),[171549] Bacteroidales (0.0102),[848] Fusobacterium (-0.0036),,,,,,,,,,,,,,,,,,,,,
Lignan Supplementation,diets,Type 2,[239759] Alistipes (0.0161),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Grain Barley,diets,Type 2,[1239] Bacillota (-0.0098),[41978] Ruminococcus sp. (0.0098),[203490] Fusobacteriia (-0.0098),[301301] Roseburia hominis (0.0098),[1506] Clostridium sp. (0.0098),,,,,,,,,,,,,,,,,,,,,,,,,
High-Protein Diet,diets,Type 2,[1965294] Collinsella sp. (0.0211),[1263] Ruminococcus (0.0211),[194924] Desulfovibrionaceae (0.0204),[186804] Peptostreptococcaceae (0.0204),[84107] Coriobacteriaceae (-0.0204),[216572] Oscillospiraceae (-0.0204),[909930] Acidaminococcaceae (-0.0204),[2040332] Dorea sp. (0.0164),[1945593] Oscillibacter sp. (0.0164),[841] Roseburia (0.0164),[626940] Phascolarctobacterium succinatutens (-0.0112),[1550024] Ruthenibacterium lactatiformans (0.0112),[135625] Pasteurellales (0.0112),[1034346] Dielma fastidiosa (-0.0111),[1472649] Dielma (-0.0111),[909932] Negativicutes (-0.0111),[909929] Selenomonadales (-0.0111),,,,,,,,,,,,,
Probiotics Containing _Bacillus Subtilis_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navel Orange Juice,diets,Type 2,[216572] Oscillospiraceae (-0.015),[81852] Enterococcaceae (0.015),[853] Faecalibacterium prausnitzii (-0.015),[31977] Veillonellaceae (0.015),,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactobacillus Gasseri_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Blueberry Powder Drink Juice,diets,Type 2,[1678] Bifidobacterium (0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B3,diets,Type 2,[171549] Bacteroidales (-0.0446),[200643] Bacteroidia (-0.0446),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[375288] Parabacteroides (-0.0032),[186803] Lachnospiraceae (0.0031),[216851] Faecalibacterium (0.0031),,,,,,,,,,,,,,,,,,,,,
Spinach,diets,Type 2,[1965233] Odoribacter sp. (0.0097),[283168] Odoribacter (0.0097),[1853231] Odoribacteraceae (0.0097),,,,,,,,,,,,,,,,,,,,,,,,,,,
Folic Acid,diets,Type 2,[508215] Rothia (0.0325),[216572] Oscillospiraceae (0.0325),[39948] Dialister (0.0325),[2840482] Coriobacteriaceae incertae sedis (0.0325),[1224] Pseudomonadota (-0.0107),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1239] Bacillota (0.0107),,,,,,,,,,,,,,,,,,,,,
Trans-Unsaturated Fatty Acids,diets,Type 2,[140625] Lachnobacterium (0.1018),[2172] Methanobrevibacter (0.1018),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Saccharomyces Boulardii_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactococcus Lactis Subsp. Lactis_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork,diets,Type 2,[1239] Bacillota (0.0204),[200643] Bacteroidia (-0.0204),[572511] Blautia (0.0204),[186802] Eubacteriales (0.0204),[133925] Olsenella (-0.0204),[841] Roseburia (0.0204),[816] Bacteroides (0.0204),[186803] Lachnospiraceae (0.0204),[216851] Faecalibacterium (0.0168),[33042] Coprococcus (-0.0036),[244127] Anaerotruncus (-0.0036),,,,,,,,,,,,,,,,,,,
